Iteration,Best Distance
0,164209.0
1,157975.0
2,151765.0
3,145625.0
4,139599.0
5,133735.0
6,127956.0
7,122006.0
8,117430.0
9,112962.0
10,108199.0
11,103637.0
12,99391.0
13,95761.0
14,92208.0
15,88677.0
16,85482.0
17,82585.0
18,79843.0
19,77248.0
20,74209.0
21,71775.0
22,69493.0
23,67212.0
24,65002.0
25,62815.0
26,60909.0
27,58920.0
28,57119.0
29,55476.0
30,53796.0
31,52197.0
32,50840.0
33,49562.0
34,48435.0
35,47404.0
36,46366.0
37,45050.0
38,44036.0
39,43034.0
40,42135.0
41,41239.0
42,40295.0
43,39599.0
44,38886.0
45,38224.0
46,37571.0
47,36928.0
48,36336.0
49,35680.0
50,35102.0
51,34303.0
52,33775.0
53,33257.0
54,32751.0
55,32246.0
56,31771.0
57,31297.0
58,30744.0
59,30223.0
60,29816.0
61,29413.0
62,29027.0
63,28669.0
64,28321.0
65,28007.0
66,27729.0
67,27475.0
68,27237.0
69,27000.0
70,26767.0
71,26550.0
72,26369.0
73,26190.0
74,26018.0
75,25850.0
76,25698.0
77,25331.0
78,25187.0
79,24966.0
80,24845.0
81,24439.0
82,24309.0
83,24143.0
84,24024.0
85,23915.0
86,23819.0
87,23732.0
88,23648.0
89,23467.0
90,23408.0
91,23351.0
92,23296.0
93,23243.0
94,23194.0
95,23150.0
96,23107.0
97,23057.0
98,23017.0
99,22986.0
100,22964.0
101,22945.0
102,22911.0
103,22894.0
104,22877.0
105,22861.0
106,22649.0
107,22487.0
108,22227.0
109,22213.0
110,22203.0
111,22174.0
112,22170.0
113,22168.0
114,22168.0
