Iteration,Best Distance
0,245082.0
1,238707.0
2,232566.0
3,226619.0
4,220885.0
5,215221.0
6,209445.0
7,204271.0
8,199160.0
9,194058.0
10,189201.0
11,184616.0
12,180241.0
13,175841.0
14,171541.0
15,167233.0
16,163199.0
17,159385.0
18,155530.0
19,151753.0
20,147968.0
21,144389.0
22,140814.0
23,137341.0
24,134047.0
25,130805.0
26,127226.0
27,124015.0
28,120863.0
29,117768.0
30,114686.0
31,111491.0
32,108492.0
33,105683.0
34,102921.0
35,100181.0
36,97583.0
37,95130.0
38,92563.0
39,90193.0
40,87877.0
41,85893.0
42,83663.0
43,81757.0
44,79822.0
45,77930.0
46,76051.0
47,74199.0
48,72348.0
49,70629.0
50,68997.0
51,67410.0
52,65804.0
53,64243.0
54,62704.0
55,61086.0
56,59674.0
57,58469.0
58,57382.0
59,56305.0
60,55277.0
61,54297.0
62,53360.0
63,52345.0
64,51386.0
65,50323.0
66,49386.0
67,48561.0
68,47742.0
69,46942.0
70,46149.0
71,45406.0
72,44699.0
73,44095.0
74,43531.0
75,43019.0
76,42509.0
77,42020.0
78,41548.0
79,41091.0
80,40664.0
81,40285.0
82,39918.0
83,39214.0
84,38854.0
85,38498.0
86,38178.0
87,37713.0
88,37396.0
89,37089.0
90,36814.0
91,36543.0
92,36282.0
93,36045.0
94,35744.0
95,35507.0
96,35277.0
97,35023.0
98,34795.0
99,34577.0
100,34366.0
101,34160.0
102,33954.0
103,33737.0
104,33546.0
105,33267.0
106,33010.0
107,32820.0
108,32636.0
109,32453.0
110,32276.0
111,32104.0
112,31938.0
113,31774.0
114,31612.0
115,31450.0
116,31289.0
117,31130.0
118,30892.0
119,30738.0
120,30592.0
121,30460.0
122,30183.0
123,30053.0
124,29921.0
125,29754.0
126,29629.0
127,29491.0
128,29372.0
129,29256.0
130,29141.0
131,29027.0
132,28924.0
133,28816.0
134,28700.0
135,28599.0
136,28499.0
137,28404.0
138,28291.0
139,28198.0
140,28110.0
141,28023.0
142,27936.0
143,27855.0
144,27788.0
145,27716.0
146,27641.0
147,27575.0
148,27510.0
149,27447.0
150,27385.0
151,27327.0
152,27270.0
153,27219.0
154,27171.0
155,27124.0
156,27080.0
157,27037.0
158,26990.0
159,26945.0
160,26903.0
161,26862.0
162,26794.0
163,26754.0
164,26722.0
165,26686.0
166,26654.0
167,26625.0
168,26597.0
169,26572.0
170,26551.0
171,26523.0
172,26504.0
173,26485.0
174,26467.0
175,26450.0
176,26434.0
177,26417.0
178,26402.0
179,26387.0
180,26373.0
181,26360.0
182,26347.0
183,26325.0
184,26308.0
185,26296.0
186,26285.0
187,26274.0
188,26264.0
189,26254.0
190,26243.0
191,26233.0
192,26218.0
193,26210.0
194,26100.0
195,25840.0
196,25623.0
197,25473.0
198,25429.0
199,25421.0
200,25413.0
201,25404.0
202,25397.0
203,25391.0
204,25385.0
205,25379.0
206,25374.0
207,25369.0
208,25365.0
209,25361.0
210,25358.0
211,25356.0
212,25341.0
213,25336.0
214,25333.0
215,25331.0
216,25326.0
217,25325.0
218,25321.0
219,25320.0
220,25315.0
221,25315.0
