Iteration,Best Distance
0,257529.0
1,252308.0
2,246884.0
3,241685.0
4,236600.0
5,232109.0
6,227145.0
7,222958.0
8,218790.0
9,214710.0
10,210672.0
11,206665.0
12,202659.0
13,198193.0
14,194306.0
15,190368.0
16,186650.0
17,183012.0
18,179424.0
19,175853.0
20,172418.0
21,169233.0
22,166063.0
23,162980.0
24,159820.0
25,156745.0
26,153735.0
27,150765.0
28,147830.0
29,144833.0
30,141916.0
31,139003.0
32,136118.0
33,133239.0
34,130456.0
35,127864.0
36,125315.0
37,122807.0
38,120350.0
39,117991.0
40,115672.0
41,113364.0
42,111062.0
43,108778.0
44,106523.0
45,104417.0
46,102323.0
47,100296.0
48,98361.0
49,96438.0
50,94571.0
51,92558.0
52,90699.0
53,89044.0
54,87431.0
55,85823.0
56,84227.0
57,82704.0
58,81121.0
59,79626.0
60,78246.0
61,76895.0
62,75620.0
63,74345.0
64,73122.0
65,71797.0
66,70581.0
67,69431.0
68,68323.0
69,67130.0
70,66020.0
71,64921.0
72,63835.0
73,62738.0
74,61306.0
75,60236.0
76,59327.0
77,58470.0
78,57669.0
79,56878.0
80,56114.0
81,55260.0
82,54464.0
83,53707.0
84,52977.0
85,52169.0
86,51446.0
87,50726.0
88,50069.0
89,49438.0
90,48813.0
91,48216.0
92,47648.0
93,47082.0
94,46534.0
95,45936.0
96,45422.0
97,44930.0
98,44517.0
99,44111.0
100,43710.0
101,43212.0
102,42821.0
103,42441.0
104,42061.0
105,41696.0
106,41339.0
107,40990.0
108,40641.0
109,40275.0
110,39927.0
111,39497.0
112,39151.0
113,38811.0
114,38472.0
115,38133.0
116,37785.0
117,37462.0
118,37110.0
119,36792.0
120,36479.0
121,36168.0
122,35857.0
123,35550.0
124,35246.0
125,34947.0
126,34686.0
127,34427.0
128,34177.0
129,33905.0
130,33661.0
131,33427.0
132,33189.0
133,32957.0
134,32731.0
135,32512.0
136,32293.0
137,32080.0
138,31868.0
139,31659.0
140,31388.0
141,31157.0
142,30950.0
143,30760.0
144,30585.0
145,30401.0
146,30228.0
147,30056.0
148,29887.0
149,29547.0
150,29381.0
151,29222.0
152,29067.0
153,28920.0
154,28773.0
155,28629.0
156,28482.0
157,28306.0
158,28163.0
159,28023.0
160,27886.0
161,27749.0
162,27620.0
163,27500.0
164,27372.0
165,27259.0
166,27146.0
167,27017.0
168,26888.0
169,26776.0
170,26669.0
171,26572.0
172,26487.0
173,26285.0
174,26202.0
175,26099.0
176,26023.0
177,25947.0
178,25876.0
179,25805.0
180,25737.0
181,25669.0
182,25602.0
183,25535.0
184,25470.0
185,25408.0
186,25347.0
187,25292.0
188,25239.0
189,25197.0
190,25155.0
191,25116.0
192,25078.0
193,25041.0
194,25013.0
195,24985.0
196,24957.0
197,24933.0
198,24913.0
199,24894.0
200,24809.0
201,24791.0
202,24766.0
203,24751.0
204,24740.0
205,24693.0
206,24683.0
207,24677.0
208,24672.0
209,24669.0
210,24669.0
