Iteration,Best Distance
0,87768.0
1,85934.0
2,84221.0
3,82574.0
4,80891.0
5,79315.0
6,77788.0
7,76379.0
8,74995.0
9,73583.0
10,72238.0
11,70898.0
12,69605.0
13,68322.0
14,67041.0
15,65778.0
16,64559.0
17,63376.0
18,62188.0
19,61007.0
20,59809.0
21,58710.0
22,57615.0
23,56514.0
24,55404.0
25,54361.0
26,53326.0
27,52292.0
28,51288.0
29,50279.0
30,49322.0
31,48369.0
32,47419.0
33,46432.0
34,45494.0
35,44588.0
36,43702.0
37,42847.0
38,42007.0
39,41175.0
40,40342.0
41,39521.0
42,38720.0
43,37914.0
44,37185.0
45,36471.0
46,35785.0
47,35129.0
48,34517.0
49,33917.0
50,33234.0
51,32638.0
52,32000.0
53,31405.0
54,30813.0
55,30253.0
56,29705.0
57,29171.0
58,28665.0
59,28168.0
60,27603.0
61,27066.0
62,26580.0
63,26103.0
64,25638.0
65,25104.0
66,24690.0
67,24286.0
68,23894.0
69,23522.0
70,23179.0
71,22878.0
72,22579.0
73,22252.0
74,21962.0
75,21676.0
76,21337.0
77,21058.0
78,20782.0
79,20509.0
80,20256.0
81,20009.0
82,19773.0
83,19495.0
84,19275.0
85,19022.0
86,18808.0
87,18614.0
88,18423.0
89,18155.0
90,17969.0
91,17784.0
92,17605.0
93,17427.0
94,17251.0
95,17033.0
96,16859.0
97,16691.0
98,16527.0
99,16371.0
100,16218.0
101,16066.0
102,15877.0
103,15732.0
104,15595.0
105,15461.0
106,15329.0
107,15198.0
108,15086.0
109,14979.0
110,14872.0
111,14769.0
112,14671.0
113,14568.0
114,14471.0
115,14374.0
116,14281.0
117,14174.0
118,14047.0
119,13961.0
120,13854.0
121,13771.0
122,13674.0
123,13595.0
124,13479.0
125,13254.0
126,13165.0
127,13078.0
128,12999.0
129,12920.0
130,12842.0
131,12752.0
132,12677.0
133,12602.0
134,12528.0
135,12445.0
136,12372.0
137,12303.0
138,12221.0
139,12157.0
140,12079.0
141,12008.0
142,11945.0
143,11888.0
144,11832.0
145,11777.0
146,11723.0
147,11669.0
148,11619.0
149,11569.0
150,11520.0
151,11471.0
152,11426.0
153,11381.0
154,11337.0
155,11296.0
156,11246.0
157,11206.0
158,11167.0
159,11128.0
160,11089.0
161,11054.0
162,11021.0
163,10988.0
164,10903.0
165,10839.0
166,10807.0
167,10776.0
168,10749.0
169,10723.0
170,10697.0
171,10673.0
172,10650.0
173,10628.0
174,10593.0
175,10572.0
176,10551.0
177,10530.0
178,10509.0
179,10488.0
180,10468.0
181,10449.0
182,10430.0
183,10411.0
184,10339.0
185,10323.0
186,10255.0
187,10239.0
188,10224.0
189,10208.0
190,10195.0
191,10183.0
192,10172.0
193,10163.0
194,10150.0
195,10139.0
196,10129.0
197,10120.0
198,10111.0
199,10082.0
200,10016.0
201,10002.0
202,9994.0
203,9986.0
204,9939.0
205,9932.0
206,9925.0
207,9905.0
208,9900.0
209,9895.0
210,9891.0
211,9887.0
212,9883.0
213,9880.0
214,9858.0
215,9856.0
216,9855.0
217,9855.0
